,client_id,age,total
380,c_1189,37,12
381,c_119,17,31
382,c_119,18,3
383,c_1190,46,57
384,c_1190,47,3
385,c_1191,23,23
386,c_1192,25,14
387,c_1193,31,53
388,c_1193,32,13
389,c_1194,22,11
390,c_1194,23,1
391,c_1195,56,20
392,c_1195,57,4
393,c_1196,41,54
394,c_1196,42,22
395,c_1197,46,37
396,c_1197,47,9
397,c_1198,28,8
398,c_1199,31,85
399,c_1199,32,13
400,c_12,67,4
401,c_12,68,1
402,c_120,23,18
403,c_120,24,4
404,c_1200,42,99
405,c_1200,43,19
406,c_1201,30,13
407,c_1201,31,1
408,c_1202,43,45
409,c_1202,44,13
410,c_1203,28,10
411,c_1204,62,9
412,c_1204,63,2
413,c_1205,29,10
414,c_1206,53,7
415,c_1207,58,41
416,c_1207,59,9
417,c_1208,87,37
418,c_1208,88,10
419,c_1209,50,10
420,c_1209,51,3
421,c_121,51,8
422,c_121,52,1
423,c_1210,24,2
424,c_1210,25,1
425,c_1211,58,5
426,c_1211,59,2
427,c_1212,47,59
428,c_1212,48,10
429,c_1213,82,26
430,c_1213,83,2
431,c_1214,46,46
432,c_1214,47,19
433,c_1215,41,40
434,c_1215,42,9
435,c_1216,68,30
436,c_1216,69,9
437,c_1217,76,13
438,c_1217,77,3
439,c_1218,45,33
440,c_1218,46,4
441,c_1219,64,4
442,c_1219,65,1
443,c_122,41,71
444,c_122,42,17
445,c_1220,71,21
446,c_1220,72,6
447,c_1221,47,82
448,c_1221,48,12
449,c_1222,40,65
450,c_1222,41,5
451,c_1224,66,19
452,c_1225,34,35
453,c_1225,35,8
454,c_1226,29,13
455,c_1226,30,11
456,c_1227,67,10
457,c_1227,68,4
458,c_1228,35,34
459,c_1228,36,1
460,c_1229,47,94
461,c_1229,48,21
462,c_123,56,13
463,c_123,57,6
464,c_1230,28,25
465,c_1230,29,7
466,c_1231,18,29
467,c_1231,19,1
468,c_1232,61,1
469,c_1233,51,18
470,c_1233,52,2
471,c_1234,70,4
472,c_1234,71,3
473,c_1235,36,22
474,c_1236,34,37
475,c_1236,35,3
476,c_1237,22,18
477,c_1237,23,2
478,c_1238,62,18
479,c_1238,63,1
480,c_1239,36,94
481,c_1239,37,22
482,c_124,28,26
483,c_1240,18,31
484,c_1240,19,4
485,c_1241,64,16
486,c_1241,65,5
487,c_1242,41,21
488,c_1242,42,7
489,c_1243,38,33
490,c_1243,39,17
491,c_1244,29,13
492,c_1244,30,3
493,c_1245,32,27
494,c_1245,33,4
495,c_1246,21,14
496,c_1246,22,2
497,c_1247,40,63
498,c_1247,41,18
499,c_1248,63,10
500,c_1248,64,6
501,c_1249,62,56
502,c_1249,63,14
503,c_125,19,9
504,c_125,20,1
505,c_1250,42,85
506,c_1250,43,20
507,c_1251,32,21
508,c_1251,33,1
509,c_1252,46,128
510,c_1252,47,20
511,c_1253,54,38
512,c_1253,55,5
513,c_1254,67,20
514,c_1254,68,1
515,c_1255,33,34
516,c_1255,34,13
517,c_1256,55,25
518,c_1256,56,3
519,c_1257,44,31
520,c_1257,45,8
521,c_1258,21,12
522,c_1258,22,7
523,c_1259,43,34
524,c_1259,44,8
525,c_126,50,11
526,c_1260,66,22
527,c_1260,67,3
528,c_1261,36,124
529,c_1261,37,12
530,c_1262,25,37
531,c_1262,26,5
532,c_1263,57,9
533,c_1263,58,2
534,c_1264,48,24
535,c_1264,49,3
536,c_1265,59,39
537,c_1265,60,5
538,c_1266,46,33
539,c_1266,47,11
540,c_1267,47,20
541,c_1267,48,3
542,c_1268,46,18
543,c_1268,47,6
544,c_1269,21,2
545,c_127,33,29
546,c_1270,55,2
547,c_1271,24,14
548,c_1271,25,2
549,c_1272,36,32
550,c_1272,37,11
551,c_1273,26,19
552,c_1273,27,1
553,c_1274,53,42
554,c_1274,54,18
555,c_1275,57,15
556,c_1275,58,8
557,c_1276,56,6
558,c_1276,57,3
559,c_1277,26,6
560,c_1277,27,1
561,c_1278,34,42
562,c_1278,35,18
563,c_1279,57,79
564,c_1279,58,7
565,c_128,74,21
566,c_128,75,8
567,c_1280,37,20
568,c_1280,38,5
569,c_1281,26,8
570,c_1281,27,1
571,c_1282,25,19
572,c_1282,26,5
573,c_1283,26,15
574,c_1283,27,7
575,c_1284,17,16
576,c_1285,52,5
577,c_1286,40,57
578,c_1286,41,11
579,c_1287,59,5
580,c_1287,60,1
581,c_1288,39,22
582,c_1288,40,1
583,c_1289,28,6
584,c_129,62,51
585,c_129,63,11
586,c_1290,24,20
587,c_1290,25,6
588,c_1291,71,36
589,c_1291,72,4
590,c_1292,39,21
591,c_1292,40,3
592,c_1293,68,6
593,c_1293,69,7
594,c_1294,62,36
595,c_1294,63,7
596,c_1295,31,30
597,c_1296,41,37
598,c_1296,42,12
599,c_1297,20,3
600,c_1298,57,36
601,c_1298,58,5
602,c_1299,46,11
603,c_13,39,88
604,c_13,40,9
605,c_130,17,11
606,c_1300,27,27
607,c_1300,28,10
608,c_1301,20,17
609,c_1301,21,4
610,c_1302,29,9
611,c_1303,34,21
612,c_1303,35,2
613,c_1304,17,4
614,c_1305,17,12
615,c_1305,18,1
616,c_1306,72,46
617,c_1306,73,11
618,c_1307,68,22
619,c_1307,69,8
620,c_1308,68,25
621,c_1308,69,4
622,c_1309,56,9
623,c_1309,57,4
624,c_131,40,133
625,c_131,41,25
626,c_1310,43,34
627,c_1310,44,4
628,c_1311,36,24
629,c_1311,37,17
630,c_1312,54,11
631,c_1312,55,2
632,c_1313,52,20
633,c_1313,53,4
634,c_1314,48,79
635,c_1314,49,13
636,c_1315,50,23
637,c_1315,51,4
638,c_1316,61,7
639,c_1316,62,4
640,c_1317,17,5
641,c_1317,18,2
642,c_1318,34,74
643,c_1318,35,17
644,c_1319,33,81
645,c_1319,34,14
646,c_132,26,5
647,c_1320,29,18
648,c_1320,30,9
649,c_1321,58,34
650,c_1321,59,1
651,c_1322,69,9
652,c_1322,70,1
653,c_1323,44,8
654,c_1323,45,4
655,c_1324,22,5
656,c_1325,74,7
657,c_1326,63,63
658,c_1326,64,9
659,c_1327,72,21
660,c_1327,73,4
661,c_1328,41,14
662,c_1329,24,8
663,c_1329,25,9
664,c_133,22,4
665,c_1330,46,13
666,c_1331,20,3
667,c_1331,21,2
668,c_1332,38,75
669,c_1332,39,17
670,c_1333,65,29
671,c_1333,66,12
672,c_1334,43,25
673,c_1334,44,7
674,c_1335,21,6
675,c_1335,22,1
676,c_1336,63,22
677,c_1336,64,11
678,c_1337,39,15
679,c_1337,40,1
680,c_1338,34,104
681,c_1338,35,31
682,c_1339,17,5
683,c_1339,18,1
684,c_134,67,47
685,c_134,68,4
686,c_1340,19,16
687,c_1341,50,8
688,c_1341,51,3
689,c_1342,41,27
690,c_1342,42,4
691,c_1343,30,116
692,c_1343,31,21
693,c_1344,75,3
694,c_1345,48,70
695,c_1345,49,9
696,c_1346,32,27
697,c_1346,33,2
698,c_1347,38,118
699,c_1347,39,18
700,c_1348,24,10
701,c_1349,42,5
702,c_135,47,19
703,c_135,48,5
704,c_1350,77,12
705,c_1350,78,7
706,c_1351,75,18
707,c_1351,76,3
708,c_1352,45,27
709,c_1352,46,5
710,c_1353,24,8
711,c_1353,25,2
712,c_1354,27,19
713,c_1354,28,1
714,c_1355,63,25
715,c_1355,64,7
716,c_1356,80,12
717,c_1356,81,5
718,c_1357,45,10
719,c_1357,46,6
720,c_1358,17,14
721,c_1359,39,19
722,c_136,56,6
723,c_136,57,2
724,c_1360,87,33
725,c_1360,88,9
726,c_1361,39,28
727,c_1361,40,11
728,c_1362,39,7
729,c_1362,40,5
730,c_1363,44,7
731,c_1363,45,6
732,c_1364,33,41
733,c_1364,34,12
734,c_1365,38,72
735,c_1365,39,18
736,c_1366,25,4
737,c_1366,26,1
738,c_1367,37,122
739,c_1367,38,26
740,c_1368,39,145
741,c_1368,40,25
742,c_1369,57,28
743,c_1369,58,5
744,c_137,28,8
745,c_137,29,3
746,c_1370,41,51
747,c_1370,42,9
748,c_1371,35,104
749,c_1371,36,19
750,c_1372,61,7
751,c_1372,62,1
752,c_1373,34,14
753,c_1374,66,12
754,c_1374,67,1
755,c_1375,76,3
756,c_1375,77,2
757,c_1376,72,9
758,c_1376,73,1
759,c_1377,35,122
760,c_1377,36,13
761,c_1378,38,96
762,c_1378,39,19
763,c_1379,57,37
764,c_1379,58,13
765,c_138,49,32
766,c_138,50,7
767,c_1380,49,26
768,c_1380,50,14
769,c_1381,39,81
770,c_1381,40,16
771,c_1382,46,91
772,c_1382,47,12
773,c_1383,17,13
774,c_1383,18,2
775,c_1384,47,62
776,c_1384,48,10
777,c_1385,25,15
778,c_1385,26,3
779,c_1386,64,38
780,c_1386,65,19
781,c_1387,64,28
782,c_1387,65,2
783,c_1388,51,30
784,c_1388,52,5
785,c_1389,66,33
786,c_1389,67,8
787,c_139,23,32
788,c_139,24,6
789,c_1390,54,23
790,c_1390,55,3
791,c_1391,30,69
792,c_1391,31,5
793,c_1392,17,15
794,c_1393,26,26
795,c_1393,27,2
796,c_1394,46,22
797,c_1394,47,11
798,c_1395,17,9
799,c_1395,18,4
800,c_1396,48,90
801,c_1396,49,14
802,c_1397,49,34
803,c_1397,50,21
804,c_1398,28,10
805,c_1399,26,33
806,c_1399,27,5
807,c_14,50,7
808,c_14,51,3
809,c_140,41,30
810,c_140,42,5
811,c_1400,20,11
812,c_1400,21,2
813,c_1401,46,44
814,c_1401,47,2
815,c_1402,55,7
816,c_1402,56,3
817,c_1403,43,42
818,c_1403,44,9
819,c_1404,51,8
820,c_1404,52,1
821,c_1405,40,81
822,c_1405,41,19
823,c_1406,50,8
824,c_1406,51,2
825,c_1407,65,6
826,c_1407,66,2
827,c_1408,81,2
828,c_1408,82,1
829,c_1409,32,13
830,c_141,41,32
831,c_141,42,7
832,c_1410,33,114
833,c_1410,34,19
834,c_1411,38,21
835,c_1411,39,3
836,c_1412,28,2
837,c_1413,41,161
838,c_1413,42,16
839,c_1414,17,28
840,c_1414,18,13
841,c_1415,28,9
842,c_1415,29,2
843,c_1416,21,12
844,c_1416,22,1
845,c_1417,19,4
846,c_1418,17,7
847,c_1418,18,6
848,c_1419,18,7
849,c_142,35,24
850,c_142,36,5
851,c_1420,17,7
852,c_1420,18,1
853,c_1421,43,20
854,c_1422,41,116
855,c_1422,42,43
856,c_1423,29,19
857,c_1423,30,4
858,c_1424,30,42
859,c_1424,31,6
860,c_1425,23,17
861,c_1425,24,3
862,c_1426,33,9
863,c_1426,34,6
864,c_1427,42,30
865,c_1427,43,8
866,c_1428,38,44
867,c_1428,39,17
868,c_1429,36,65
869,c_1429,37,11
870,c_143,46,62
871,c_143,47,8
872,c_1430,65,7
873,c_1430,66,1
874,c_1431,22,14
875,c_1431,23,3
876,c_1432,51,33
877,c_1432,52,7
878,c_1433,45,46
879,c_1433,46,14
880,c_1434,36,43
881,c_1434,37,3
882,c_1435,23,13
883,c_1435,24,7
884,c_1436,47,26
885,c_1436,48,2
886,c_1437,17,26
887,c_1437,18,8
888,c_1438,54,36
889,c_1438,55,7
890,c_1439,37,78
891,c_1439,38,3
892,c_144,79,6
893,c_144,80,3
894,c_1440,25,11
895,c_1440,26,2
896,c_1441,44,10
897,c_1441,45,4
898,c_1442,32,97
899,c_1442,33,14
900,c_1443,65,42
901,c_1443,66,8
902,c_1444,33,6
903,c_1445,33,14
904,c_1446,61,14
905,c_1446,62,4
906,c_1447,52,25
907,c_1447,53,7
908,c_1448,44,38
909,c_1448,45,9
910,c_1449,41,36
911,c_1449,42,1
912,c_145,34,20
913,c_145,35,7
914,c_1450,62,8
915,c_1451,76,9
916,c_1451,77,1
917,c_1452,44,63
918,c_1452,45,11
919,c_1453,19,13
920,c_1453,20,2
921,c_1454,23,17
922,c_1454,24,9
923,c_1455,89,55
924,c_1455,90,10
925,c_1456,41,14
926,c_1457,36,53
927,c_1457,37,7
928,c_1458,82,64
929,c_1458,83,7
930,c_1459,35,34
931,c_1459,36,11
932,c_146,54,28
933,c_146,55,13
934,c_1460,32,43
935,c_1460,33,6
936,c_1461,45,28
937,c_1461,46,7
938,c_1462,58,37
939,c_1462,59,6
940,c_1463,59,38
941,c_1463,60,7
942,c_1464,35,93
943,c_1464,36,23
944,c_1465,42,26
945,c_1465,43,2
946,c_1466,85,18
947,c_1466,86,10
948,c_1467,63,70
949,c_1467,64,16
950,c_1468,19,11
951,c_1468,20,1
952,c_1469,41,80
953,c_1469,42,23
954,c_147,65,33
955,c_147,66,2
956,c_1470,83,4
957,c_1471,54,32
958,c_1471,55,6
959,c_1472,48,42
960,c_1472,49,27
961,c_1473,35,42
962,c_1473,36,2
963,c_1474,18,27
964,c_1474,19,3
965,c_1475,22,17
966,c_1476,50,47
967,c_1476,51,13
968,c_1477,48,25
969,c_1477,49,2
970,c_1478,49,101
971,c_1478,50,29
972,c_1479,31,82
973,c_1479,32,8
974,c_148,41,14
975,c_148,42,4
976,c_1480,29,26
977,c_1480,30,8
978,c_1481,85,37
979,c_1481,86,6
980,c_1482,43,93
981,c_1482,44,27
982,c_1483,17,10
983,c_1483,18,8
984,c_1484,61,16
985,c_1484,62,2
986,c_1485,62,10
987,c_1485,63,2
988,c_1486,47,52
989,c_1486,48,17
990,c_1487,59,12
991,c_1487,60,1
992,c_1488,51,24
993,c_1489,42,50
994,c_1489,43,10
995,c_149,52,5
996,c_1490,52,2
997,c_1490,53,6
998,c_1491,35,77
999,c_1491,36,16
1000,c_1492,39,79
1001,c_1492,40,11
1002,c_1493,72,54
1003,c_1493,73,12
1004,c_1494,34,85
1005,c_1494,35,13
1006,c_1495,76,22
1007,c_1496,27,6
1008,c_1497,33,44
1009,c_1498,78,51
1010,c_1498,79,15
1011,c_1499,33,62
1012,c_1499,34,9
1013,c_15,33,26
1014,c_15,34,7
1015,c_150,48,38
1016,c_150,49,9
1017,c_1500,47,41
1018,c_1500,48,11
1019,c_1501,23,13
1020,c_1501,24,2
1021,c_1502,17,15
1022,c_1503,35,55
1023,c_1503,36,2
1024,c_1504,49,26
1025,c_1504,50,8
1026,c_1505,65,5
1027,c_1505,66,2
1028,c_1506,22,6
1029,c_1507,50,7
1030,c_1507,51,1
1031,c_1508,25,4
1032,c_1508,26,3
1033,c_1509,27,20
1034,c_151,55,7
1035,c_1510,61,20
1036,c_1510,62,1
1037,c_1511,53,32
1038,c_1511,54,9
1039,c_1512,48,27
1040,c_1513,19,33
1041,c_1513,20,2
1042,c_1514,39,81
1043,c_1514,40,10
1044,c_1515,49,64
1045,c_1515,50,17
1046,c_1516,17,12
1047,c_1516,18,8
1048,c_1517,27,13
1049,c_1517,28,2
1050,c_1518,59,22
1051,c_1518,60,6
1052,c_1519,57,8
1053,c_1519,58,4
1054,c_152,31,19
1055,c_152,32,2
1056,c_1520,42,15
1057,c_1521,32,47
1058,c_1521,33,9
1059,c_1522,61,69
1060,c_1522,62,4
1061,c_1523,53,5
1062,c_1523,54,7
1063,c_1524,31,38
1064,c_1524,32,3
1065,c_1525,56,15
1066,c_1525,57,6
1067,c_1526,27,9
1068,c_1526,28,1
1069,c_1527,25,17
1070,c_1527,26,8
1071,c_1528,38,24
1072,c_1528,39,2
1073,c_1529,53,53
1074,c_1529,54,6
1075,c_153,48,43
1076,c_153,49,8
1077,c_1530,19,7
1078,c_1530,20,1
1079,c_1531,36,33
1080,c_1531,37,8
1081,c_1532,55,4
1082,c_1532,56,3
1083,c_1533,49,32
1084,c_1533,50,7
1085,c_1534,72,15
1086,c_1534,73,9
1087,c_1535,31,74
1088,c_1535,32,27
1089,c_1536,19,8
1090,c_1536,20,5
1091,c_1537,45,5
1092,c_1537,46,7
1093,c_1538,35,43
1094,c_1538,36,6
1095,c_1539,46,82
1096,c_1539,47,11
1097,c_154,24,2
1098,c_1540,57,32
1099,c_1540,58,7
1100,c_1541,44,35
1101,c_1541,45,4
1102,c_1542,58,2
1103,c_1542,59,5
1104,c_1543,65,26
1105,c_1543,66,13
1106,c_1544,44,72
1107,c_1544,45,3
1108,c_1545,48,29
1109,c_1545,49,12
1110,c_1546,61,11
1111,c_1546,62,2
1112,c_1547,17,8
1113,c_1547,18,2
1114,c_1548,33,16
1115,c_1548,34,13
1116,c_1549,34,34
1117,c_1549,35,8
1118,c_155,18,21
1119,c_155,19,6
1120,c_1550,22,8
1121,c_1550,23,2
1122,c_1551,49,50
1123,c_1551,50,21
1124,c_1552,50,18
1125,c_1552,51,7
1126,c_1553,67,21
1127,c_1553,68,1
1128,c_1554,68,13
1129,c_1554,69,1
1130,c_1555,18,6
1131,c_1555,19,2
1132,c_1556,57,2
1133,c_1556,58,4
1134,c_1557,45,3
1135,c_1557,46,4
1136,c_1558,37,66
1137,c_1558,38,13
1138,c_1559,28,19
1139,c_1559,29,1
1140,c_156,32,49
1141,c_156,33,15
1142,c_1560,26,23
1143,c_1560,27,5
1144,c_1561,17,11
1145,c_1561,18,2
1146,c_1562,66,11
1147,c_1562,67,6
1148,c_1563,74,11
1149,c_1563,75,1
1150,c_1564,17,26
1151,c_1564,18,2
1152,c_1565,22,27
1153,c_1565,23,2
1154,c_1566,17,10
1155,c_1566,18,1
1156,c_1567,55,28
1157,c_1567,56,11
1158,c_1568,64,28
1159,c_1568,65,2
1160,c_1569,57,14
1161,c_1569,58,3
1162,c_157,50,30
1163,c_157,51,1
1164,c_1570,42,134
1165,c_1570,43,28
1166,c_1571,57,9
1167,c_1572,25,2
1168,c_1572,26,3
1169,c_1573,29,28
1170,c_1573,30,9
1171,c_1574,67,13
1172,c_1575,26,3
1173,c_1575,27,2
1174,c_1576,65,42
1175,c_1576,66,8
1176,c_1577,24,10
1177,c_1577,25,3
1178,c_1578,22,25
1179,c_1578,23,6
1180,c_1579,49,46
1181,c_1579,50,5
1182,c_158,68,28
1183,c_158,69,9
1184,c_1580,42,7
1185,c_1581,53,17
1186,c_1581,54,3
1187,c_1582,74,11
1188,c_1582,75,1
1189,c_1583,66,44
1190,c_1583,67,6
1191,c_1584,30,70
1192,c_1584,31,18
1193,c_1585,51,48
1194,c_1585,52,3
1195,c_1586,62,10
1196,c_1586,63,1
1197,c_1587,46,21
1198,c_1588,43,32
1199,c_1588,44,6
1200,c_1589,68,7
1201,c_1589,69,2
1202,c_159,24,20
1203,c_159,25,6
1204,c_1590,17,24
1205,c_1591,83,3
1206,c_1592,24,25
1207,c_1592,25,5
1208,c_1593,28,22
1209,c_1593,29,5
1210,c_1594,38,31
1211,c_1594,39,2
1212,c_1595,48,75
1213,c_1595,49,29
1214,c_1596,27,14
1215,c_1596,28,11
1216,c_1597,64,22
1217,c_1597,65,20
1218,c_1598,36,69
1219,c_1598,37,4
1220,c_1599,56,6
1221,c_16,51,9
1222,c_160,43,14
1223,c_160,44,10
1224,c_1600,49,46
1225,c_1600,50,4
1226,c_1601,72,11
1227,c_1602,30,9
1228,c_1602,31,7
1229,c_1603,54,3
1230,c_1603,55,1
1231,c_1604,19,5
1232,c_1604,20,2
1233,c_1605,26,10
1234,c_1605,27,6
1235,c_1606,65,9
1236,c_1607,43,17
1237,c_1608,56,33
1238,c_1608,57,8
1239,c_1609,41,10761
1240,c_1609,42,2083
1241,c_161,38,143
1242,c_161,39,32
1243,c_1610,32,6
1244,c_1610,33,1
1245,c_1611,40,85
1246,c_1611,41,10
1247,c_1612,59,35
1248,c_1612,60,1
1249,c_1613,40,20
1250,c_1613,41,4
1251,c_1614,27,8
1252,c_1615,31,41
1253,c_1615,32,12
1254,c_1616,64,30
1255,c_1616,65,3
1256,c_1617,47,13
1257,c_1618,65,31
